#,Business Name,Website Status,Existing Website,Phone,Email,Full Address,Town,Postcode,Google Maps Link,Is Lead?,Notes,Outreach Status,Owner,Next Action,Last Contacted
24,Zahnarztpraxis Serdean,Has website,www.zahnarztpraxis-serdean.at,+43 7224 65981,,,Linz area,,"https://www.google.com/maps/search/?api=1&query=48.2186003,14.4197607",No (has site),,Not contacted,,,
25,Zahnteam Pertold,Has website,https://www.zahnteam-pertold.at,+43 7234 21900,ordination@zahnteam-pertold.at,,Linz area,,"https://www.google.com/maps/search/?api=1&query=48.3590347,14.1380323",No (has site),,Not contacted,,,
26,DDr. Stefan Hunger,No website,,+43 7235 643 33,,"Marktplatz 5a, 4210 Gallneukirchen",Gallneukirchen,4210,"https://www.google.com/maps/search/?api=1&query=48.3523783,14.4166288",Yes,,Not contacted,,,
27,Dr. Artner Rudolf,No website,,+43 7229 70551-0,,"Dr.-Knechtl-Straße, 4050 Traun",Traun,4050,"https://www.google.com/maps/search/?api=1&query=48.2247921,14.2435237",Yes,,Not contacted,,,
28,Dr. Christa Pisecky-Marschhofer,No website,,+43732672284,,"Karningstraße 7, 4060 Leonding",Leonding,4060,"https://www.google.com/maps/search/?api=1&query=48.2791509,14.244285",Yes,,Not contacted,,,
29,Dr. Reinhard Gratzl,No website,,+43 732 682063,,"Eigenheimstraße 18, 4060 Leonding",Leonding,4060,"https://www.google.com/maps/search/?api=1&query=48.2446372,14.2550514",Yes,,Not contacted,,,
30,Dr. Slana,No website,,,,"Im Fall 312, 4225 Luftenberg an der Donau",Luftenberg an der Donau,4225,"https://www.google.com/maps/search/?api=1&query=48.2581047,14.4250629",Yes,,Not contacted,,,
31,Dr. Ute Schnötzinger,No website,,+43 732 332233,,"Stadtplatz 14, 4060 Leonding",Leonding,4060,"https://www.google.com/maps/search/?api=1&query=48.2788219,14.2486638",Yes,,Not contacted,,,
32,Dr. Veronica Szabo,No website,,+43 732 678362,,"Harterfeldstraße 56, 4060 Leonding",Leonding,4060,"https://www.google.com/maps/search/?api=1&query=48.2598181,14.2527451",Yes,,Not contacted,,,
33,DDr. med. Gottfried ÖMER,Has website,http://www.dr-oemer.eu,+43 732 641819,,"Kirchengasse 31, 4221 Steyregg",Steyregg,4221,"https://www.google.com/maps/search/?api=1&query=48.2850815,14.365261",No (has site),,Not contacted,,,
34,Dr.  Josef Polak,Has website,https://www.dr-polak.at/kontakte/,+43 7239 202 05,,"Gisstraße 2, 4040 Lichtenberg",Lichtenberg,4040,"https://www.google.com/maps/search/?api=1&query=48.3601071,14.2581316",No (has site),,Not contacted,,,
35,Dr. David Klambauer,Has website,https://www.zahnarzt-gusental.at/,+43 7237 631 95,dr.klambauer@zahnarzt-gusental.at,"Weingrabener Straße 1, 4222 St. Georgen an der Gusen",St. Georgen an der Gusen,4222,"https://www.google.com/maps/search/?api=1&query=48.284509,14.4450236",No (has site),,Not contacted,,,
36,Dr. Florian Müller,Has website,https://www.zahnarzt-drmueller.at,+43 7223 80402,,"Astner Straße 31, 4470 Enns",Enns,4470,"https://www.google.com/maps/search/?api=1&query=48.2163562,14.4408907",No (has site),,Not contacted,,,
37,Dr. med. dent. Miro Mirkovic,Has website,https://www.zahnarzt-mirkovic.at,+43 732 674566,office@zahnarzt-mirkovic.at,"Michaelsbergstraße 5, 4060 Leonding",Leonding,4060,"https://www.google.com/maps/search/?api=1&query=48.2776261,14.2496392",No (has site),,Not contacted,,,
38,Dr. Wolfgang Kreminger,Has website,http://www.kreminger.at,+43732672500,office@kreminger.at,"Spillheide 5, 4060 Leonding",Leonding,4060,"https://www.google.com/maps/search/?api=1&query=48.2798958,14.2463099",No (has site),,Not contacted,,,
39,Zahnarzt Gallneukirchen - Dres. Rammer-Viden,Has website,https://www.zahnarzt-gallneukirchen.at/,+43 7235 64420,,"Hauptstraße 47, 4210 Gallneukirchen",Gallneukirchen,4210,"https://www.google.com/maps/search/?api=1&query=48.3549286,14.4180579",No (has site),,Not contacted,,,
