Priority,Niche,Business Name,Website Status,Phone,Email,Street,Postcode,Town,Source URL (if broken),Notes,Outreach Status,Owner,Next Action,Last Contacted
WARM - direct contact,Physiotherapist,Lisa Weißhäupl,No website,+436604099828,,Hauptstraße 83-85,4040,Linz area,,,Not contacted,,,
WARM - direct contact,Physiotherapist,Anneliese Pachinger,No website,+43 650 8201473,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Veterinarian,Dr. Erika Zenz-Windhager,No website,+43 732 777014,,Rechte Donaustraße 7,4020,Linz,,,Not contacted,,,
WARM - direct contact,Veterinarian,Mag. Wolfgang Machold,No website,+43 732 301160,,Ebelsberger Schloßberg 1,,Linz area,,,Not contacted,,,
COOL - visit/mail,Veterinarian,Dr. Josef Aigner,No website,,,Berghamerstraße 63,4072,Alkoven,,,Not contacted,,,
COOL - visit/mail,Veterinarian,Dr. Ulla Roberts,No website,,,Göllerichstraße 3,4020,Linz,,,Not contacted,,,
COOL - visit/mail,Veterinarian,Tierarztpraxis Steyregg,No website,,,Im Reith 36,4221,Steyregg,,,Not contacted,,,
COOL - visit/mail,Veterinarian,Tierarztpraxis Wiesinger GmbH,No website,,,Samesleitner Straße 32,4470,Enns,,,Not contacted,,,
WARM - direct contact,Optician,VIDEBIS Gmbh - Linz,No website,+4312788333,,Anzengruberstraße 6-8,4020,Linz,,,Not contacted,,,
COOL - visit/mail,Optician,Optiker,No website,,,Linzer Straße 16,4221,Steyregg,,,Not contacted,,,
HOT - broken site,Hair / Barber,Gerhardt & Gerhardt,Broken website,+43 732 660364,salon@friseur-gerhardt.at,,,Linz area,http://www.friseur-gerhardt.at,URLError,Not contacted,,,
HOT - broken site,Hair / Barber,Haar & Co,Broken website,+43 676 9677886,,Traunerstraße 100,4050,Traun,https://nosecretsalon.at/traun/haar-co-bettina-piffath-friseursalon/,URLError,Not contacted,,,
HOT - broken site,Hair / Barber,Imaj & Imaj,Broken website,,kontakt@ipl-austria.at,Johann Roithner-Straße 29,4050,Traun,http://www.ipl-austria.at/,URLError,Not contacted,,,
HOT - broken site,Hair / Barber,Salon Heike,Broken website,+43 732 341593,,,,Linz area,https://www.salonheike.at/,URLError,Not contacted,,,
WARM - direct contact,Hair / Barber,Oliver's Haarschnitt,No website,+43 7229 72280,oliver.oboril@liwest.at,Mitterfeldstraße 16,4050,Traun,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Querschnitt,No website,+43 732 672109,querschnitt@utanet.at,,,Linz area,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Brünett,No website,+43 732 784142,,Waldeggstraße 114,4020,Linz,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Class Men Barber Shop,No website,+43 732 942131,,Humboldtstraße 21,4020,Linz,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Friseur Heidemarie Wagner,No website,+43 732 243083,,Johann-Wilhelm-Klein-Straße 5,4040,Linz,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Kreativ Hair,No website,+43 664 2102044,,Neubauerstraße 72,4050,Traun,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Ramo's Barbershop,No website,+43 732 389262,,Humboldtstraße 28a,4020,Linz,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Rechberger,No website,+43 7239 5478,,Kastnerstraße 8,4040,Lichtenberg,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Salon Carina,No website,+43 732341437,,Einsteinstraße 7,4020,Linz,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Salon Christa,No website,+43 732 330 358,,Liebigstraße 26,4020,Linz,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Salon Karizma Herrenfriseur,No website,+43732220654,,Johann-Wilhelm-Klein-Straße 3,4040,Linz,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Salon Silvia,No website,+43 732 678502,,Stadtplatz 1c,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Schasching-Intercoiffeur,No website,+43 732 673033,,Mayrhansenstraße 3,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Studio Haar PLUS,No website,+43 732 917027,,Kollegiumgasse 1,4020,Linz,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Chaarisma,No website,+43 732 671927,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Hair / Barber,DM Frisör,No website,+43 7229 7819915,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Etage,No website,+43 732 321557,,3,4030,Linz,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Frau Carola,No website,+43 650 2618310,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Friseur FigaroUno,No website,+43 7237 6360,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Hair Company,No website,+43 732 773 767,,,4020,Linz,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Salon Livia,No website,+43 732 678596,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Hair / Barber,Ursula Helmhart,No website,+43 732 674343,,,,Linz area,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,Almir Barber Shop,No website,,,Hessenplatz 4,4020,Linz,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,AVND Barbershop,No website,,,Freistädter Straße 313,4040,Linz,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,Black Devil,No website,,,Geranienstraße 6,4481,Asten,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,Corkzone Fashion by nature,No website,,,Bahnhofstraße 12,4050,Traun,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,Friseur Busser,No website,,,Am Bindermichl 39,4020,Linz,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,Friseur Chic u Schön,No website,,,Oberer Markt 20,4222,St. Georgen an der Gusen,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,Friseursalon,No website,,,Raimundstraße 6,4225,Luftenberg an der Donau,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,Frisiersalon Schubhart Renate,No website,,,Hessenplatz 13,4020,Linz,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,Haarstudio Schön,No website,,,Mauthausener Straße 29,4222,St. Georgen an der Gusen,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,iris franziska IHR FRISEUR,No website,,,Freistädter Straße 287,4040,Linz,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,Kunst ohne Grenzen,No website,,,Bahnhofstraße 14,4050,Traun,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,Liebhaarberei,No website,,,Himmelreichstraße 1,4052,Ansfelden,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,Linz Barber Shop,No website,,,Dametzstraße 45,4020,Linz,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,Roswitha's Frisurenstudio,No website,,,Freistädter Straße 287,4040,Linz,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,Sabrina's Hairstyle,No website,,,Marktplatz 9,4222,St. Georgen an der Gusen,,,Not contacted,,,
COOL - visit/mail,Hair / Barber,Top Friseur Leimegger Sabine,No website,,,Graben 8,4020,Linz,,,Not contacted,,,
HOT - broken site,Beauty / Nails,Körperklang,Broken website,+43 732 770347,office@koerper-klang.at,,,Linz area,http://www.koerper-klang.at,URLError,Not contacted,,,
WARM - direct contact,Beauty / Nails,Jenny Stadlmann,No website,+436642464445,jenny.stadlmann@gmail.com,,,Linz area,,,Not contacted,,,
WARM - direct contact,Beauty / Nails,TCM-Studio,No website,+43 664 4238080,qingyuan19@163.com,,,Linz area,,,Not contacted,,,
WARM - direct contact,Beauty / Nails,Beauty & Nailart,No website,+43 650 9982575,,Fadingerplatz,,Linz area,,,Not contacted,,,
WARM - direct contact,Beauty / Nails,Body & Sun,No website,+43 664 9210155,,Am Südgarten 51,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Beauty / Nails,Dream Sun Sonnenstudio,No website,+43 732 797278,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Beauty / Nails,Nagelstudio und Kosmetik - Dora Nagy,No website,+43 676 3067807,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Beauty / Nails,Nail Couture,No website,+43 650 2288155,,,,Linz area,,,Not contacted,,,
COOL - visit/mail,Beauty / Nails,Nana Nails,No website,,,Dametzstraße 45,4020,Linz,,,Not contacted,,,
HOT - broken site,Massage / Wellness,Massagefachinstitut longlife,Broken website,+43 664 1221266,massage.longlife@aon.at,,,Linz area,http://www.longlife.at.tf,URLError,Not contacted,,,
WARM - direct contact,Massage / Wellness,"Der ""wilde"" Masseur",No website,+43 650 8533545,wildermasseur@gmx.at,Stadtplatz 16,4221,Steyregg,,,Not contacted,,,
WARM - direct contact,Massage / Wellness,Miko & Mitterhuber,No website,+43 732 670597,mm-massage@gmx.at,Meixnerstraße 8,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Massage / Wellness,Massage-Fachinstitut HIESSBÖCK,No website,+43732739827,,Heilhamer Weg 1a,4040,Linz,,,Not contacted,,,
WARM - direct contact,Massage / Wellness,Massagefachinstitut Veronika Meinhart,No website,+43 732 675527,,Radmayrweg 1,4060,Leonding,,,Not contacted,,,
WARM - direct contact,Massage / Wellness,Massageinstitut Hochmeier,No website,+43 732 774057,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Massage / Wellness,Massageinstitut Wohlgemuth,No website,+43 732 34006627,,,,Linz area,,,Not contacted,,,
WARM - direct contact,Massage / Wellness,SU Massage,No website,+43 660 51875667,,,,Linz area,,,Not contacted,,,
COOL - visit/mail,Massage / Wellness,Heilmassage Eigner,No website,,,WELLA-Straße 2a,4225,Luftenberg an der Donau,,,Not contacted,,,
COOL - visit/mail,Massage / Wellness,Massage Baumgartner,No website,,,Seeweg 8,4225,Luftenberg an der Donau,,,Not contacted,,,
COOL - visit/mail,Massage / Wellness,Massage Fachinstitut Theresa Temper,No website,,,Zerzerstraße 8,4040,Linz,,,Not contacted,,,
COOL - visit/mail,Massage / Wellness,Massagepraxis Christian Drucker,No website,,,Hauptplatz 15-16,,Linz area,,,Not contacted,,,
HOT - broken site,Fitness / Gym,HappyFit Linz Dornach,Broken website,+43732 931627,linz-dornach@happyfit.eu,Freistädter Straße 336,4040,Linz,https://www.happyfit.eu/standorte/linz-dornach/,HTTP 308,Not contacted,,,
COOL - visit/mail,Fitness / Gym,HappyFit Steyregg,No website,,,Gewerbeallee 15d,4221,Steyregg,,,Not contacted,,,
HOT - broken site,Trade - Carpenter,Tischlerei Hofer,Broken website,+43 7239 8226,hofer@tischlereihofer.at,20,4201,Gramastetten,https://www.tischlereihofer.com/,URLError,Not contacted,,,
HOT - broken site,Trade - Plumber,ÖAG,Broken website,+43 5 04067306,iz-leonding@oeag.at,,,Linz area,http://www.oeag.at,URLError,Not contacted,,,
HOT - broken site,Trade - Joiner,freuhof türen,Broken website,,,Gewerbefeld 11,4203,Altenberg bei Linz,https://www.freuhof.at,HTTP 404,Not contacted,,,
WARM - direct contact,Trade - Plumber,Impex,No website,+43 50 886100,linz@impex.at,,,Linz area,,,Not contacted,,,
WARM - direct contact,Trade - Carpenter,Hans Jürgen Öberl,No website,+43 732641437,,Pulgarn 32,4221,Steyregg,,,Not contacted,,,
WARM - direct contact,Trade - Metalwork,Bau- u Konstruktionsschlosserei Erwin Kreindl,No website,+43 732 6400170,,29,4221,Steyregg,,,Not contacted,,,
WARM - direct contact,Trade - Tiler,Fliesen Wegel,No website,+43 732 348 965,,,,Linz area,,,Not contacted,,,
COOL - visit/mail,Trade - Painter,Anton Luger GmbH,No website,,,Almesberger Straße 1,4211,Alberndorf in der Riedmark,,,Not contacted,,,
COOL - visit/mail,Trade - Plumber,dwpp - Der Wärmepumpenprofi GmbH,No website,,,Geranienstraße 6,4481,Asten,,,Not contacted,,,
COOL - visit/mail,Trade - Plumber,Forster,No website,,,Wiener Straße 52,4490,St. Florian,,,Not contacted,,,
COOL - visit/mail,Trade - Gardener,Gärtnerei Friedenshort,No website,,,Reichenauer Straße 37,4210,Gallneukirchen,,,Not contacted,,,
COOL - visit/mail,Trade - Metalwork,HAPU Metall,No website,,,Oberhauser Straße 15,4470,Enns,,,Not contacted,,,
COOL - visit/mail,Trade - Joiner,Nöbauer Tischlerei,No website,,,Albrechtstraße 22,4614,Marchtrenk,,,Not contacted,,,
